model,edge_case,input,output
zero_shot,Empty description,,NO OUTPUT (Empty description)
zero_shot,Very short,Coffee shop,"Coffee shop buzzes with the sound of clinking cups and murmured conversations, providing a backdrop for the conversation between Dr. Jameson and Ms. Anderson.]

Dr. Jameson: (sighs) It's been a long day, hasn"
zero_shot,Very long,International blockchain supply chain platform for logistics automation and AI-powered compliance verification with integrated sustainability tracking and global tax compliance,"International blockchain supply chain platform for logistics automation and AI-powered compliance verification with integrated sustainability tracking and global tax compliance.
COP26: Supply chain issues 'undermine' COP26 goal of limiting global warming
Amazon's Climate Pledge Fund invests in UK startup CarbonLite
UK to use technology to track food waste
Amazon UK to introduce 20,000"
zero_shot,Non-English,محل لبيع القهوة العضوية,محل لبيع القهوة العضوية الأمريكية الإلكترونية المتحرقة في الأمريكية ومؤسس
zero_shot,Ambiguous,Consulting services,"Consulting services are often seen as an essential tool for businesses to thrive in today's fast-paced and ever-changing market. These services provide companies with expert advice and guidance to help them achieve their goals, improve their operations, and stay ahead of the competition."
zero_shot,Inappropriate,adult content website with explicit nude content,BLOCKED (Inappropriate request)
aug_lora,Empty description,,NO OUTPUT (Empty description)
aug_lora,Very short,Coffee shop,"Coffee shop in Singapore, on a sunny morning. The aroma of freshly brewed coffee fills the air as a group of old classmates sit around a table, catching up after many years apart.

Emma: (excitedly) It's been ages since"
aug_lora,Very long,International blockchain supply chain platform for logistics automation and AI-powered compliance verification with integrated sustainability tracking and global tax compliance,"International blockchain supply chain platform for logistics automation and AI-powered compliance verification with integrated sustainability tracking and global tax compliance.
The global supply chain is in the midst of a digital revolution. The digital transformation of the supply chain is a growing trend across industries around the world. The ability to digitize and automate the supply chain will enable better business performance, and will"
aug_lora,Non-English,محل لبيع القهوة العضوية,"محل لبيع القهوة العضوية بالمادرة الفرنسية
جيد القوة العضوية لبيع القهوة العضوي"
aug_lora,Ambiguous,Consulting services,"Consulting services can help businesses improve their operations, reduce costs, and achieve their goals. Consultants have a wealth of knowledge and experience that can help businesses overcome challenges and improve their bottom line. For example, a consultant can help a business improve its marketing strategy,"
