model,business,predicted,gemini_score
zero_shot,startup for pets in Singapore,"Generate 3 domain names for this business. Business: startup for pets in Singapore
Domains: start.pet.sg, startup-for-pets.com.sg, start.pet-sg.net
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.9,
  ""validity"": 0.9,
  ""overall"": 0.8
}
```"
zero_shot,event planning company in Toronto,"Generate 3 domain names for this business. Business: event planning company in Toronto
Domains: eventscanada.com, torontoevents.com, planitwithus.com
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.83
}
```"
zero_shot,event planning company in New York,"Generate 3 domain names for this business. Business: event planning company in New York
Domains: EventPlanningNYC.com, EventPlanningNY.com, EventPlanningNYC
","```json
{
  ""creativity"": 0.3,
  ""relevance"": 0.95,
  ""validity"": 0.9,
  ""overall"": 0.7166666666666667
}
```"
zero_shot,cybersecurity service provider in Tokyo,"Generate 3 domain names for this business. Business: cybersecurity service provider in Tokyo
Domains: securetech.co.jp, cyberprotection.co.jp, techsupport.co.jp
","```json
{
  ""creativity"": 0.4,
  ""relevance"": 0.8,
  ""validity"": 1.0,
  ""overall"": 0.73
}
```"
zero_shot,micro-lending platform in Toronto,"Generate 3 domain names for this business. Business: micro-lending platform in Toronto
Domains: 
1. 
2. 
3. 

4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. ","Okay, I'm ready. Please provide the domain name suggestions. I need the actual domain names in order to evaluate them.  For example:

Domains:
1. Torontolend.com
2. MicroloansTO.ca
3. MapleMoney.org"
zero_shot,investment firm in New York,"Generate 3 domain names for this business. Business: investment firm in New York
Domains: 
1. investmentfirmnyc.com
2. nycinvestments.com
3. theinvestornyc.com
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.8333333333333334
}
```"
zero_shot,youth development program in Toronto,"Generate 3 domain names for this business. Business: youth development program in Toronto
Domains: yd.toronto, youthdevelopment.ca, yd.com.au
","```json
{
  ""yd.toronto"": {
    ""creativity"": 0.6,
    ""relevance"": 0.8,
    ""validity"": 0.9,
    ""overall"": 0.7666666666666667
  },
  ""youthdevelopment.ca"": {
    ""creativity"": 0.3,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7333333333333333
  },
  ""yd.com.au"": {
    ""creativity"": 0.7,
    ""relevance"": 0.3,
    ""validity"": 0.9,
    ""overall"": 0.6333333333333333
  }
}
```"
zero_shot,organic skincare brand in Berlin,"Generate 3 domain names for this business. Business: organic skincare brand in Berlin
Domains: 
- organicskincareberlin.com
- BerlinOrganicSkincare.com
- GreenSkinBerlin.com
","```json
{
  ""organicskincareberlin.com"": {
    ""creativity"": 0.2,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""BerlinOrganicSkincare.com"": {
    ""creativity"": 0.3,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.73
  },
  ""GreenSkinBerlin.com"": {
    ""creativity"": 0.7,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.83
  }
}
```"
zero_shot,luxury travel agency in Paris,"Generate 3 domain names for this business. Business: luxury travel agency in Paris
Domains: travelparis.com, luxuryparis.com, travelparissolutions.com
","```json
{
  ""travelparis.com"": {
    ""creativity"": 0.3,
    ""relevance"": 0.8,
    ""validity"": 1.0,
    ""overall"": 0.7
  },
  ""luxuryparis.com"": {
    ""creativity"": 0.4,
    ""relevance"": 0.9,
    ""validity"": 1.0,
    ""overall"": 0.766
  },
  ""travelparissolutions.com"": {
    ""creativity"": 0.5,
    ""relevance"": 0.7,
    ""validity"": 1.0,
    ""overall"": 0.733
  }
}
```"
zero_shot,film production house in San Francisco,"Generate 3 domain names for this business. Business: film production house in San Francisco
Domains: 
1. filmi.sf
2. SFnFilm
3. CinemaFinder
","```json
{
  ""creativity"": 0.6,
  ""relevance"": 0.8,
  ""validity"": 0.9,
  ""overall"": 0.7666666666666667
}
```"
zero_shot,educational game developer in Singapore,"Generate 3 domain names for this business. Business: educational game developer in Singapore
Domains: 
1. ernicegame.com
2. eryangame.sg
3. eryangameservice.com
","```json
{
  ""creativity"": 0.3,
  ""relevance"": 0.7,
  ""validity"": 0.9,
  ""overall"": 0.63
}
```"
zero_shot,food truck business in Singapore,"Generate 3 domain names for this business. Business: food truck business in Singapore
Domains: foodtruck.com, foodtruck.com.sg, foodtruck.asia
","```json
{
  ""creativity"": 0.1,
  ""relevance"": 0.9,
  ""validity"": 0.9,
  ""overall"": 0.63
}
```"
zero_shot,bakery and pastry shop in San Francisco,"Generate 3 domain names for this business. Business: bakery and pastry shop in San Francisco
Domains: 
1. SanFranciscoBakery.com
2. SanFranciscoPastryShop.com
3. SFBakery.com
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
zero_shot,digital marketing agency in Tokyo,"Generate 3 domain names for this business. Business: digital marketing agency in Tokyo
Domains: 
1. japanesemarketing.com 
2. digitalmarketingtokyo.com 
3. japanesemarketingagency.com
","```json
{
  ""creativity"": 0.3,
  ""relevance"": 0.85,
  ""validity"": 1.0,
  ""overall"": 0.7166666666666667
}
```"
zero_shot,cloud solutions provider in San Francisco,"Generate 3 domain names for this business. Business: cloud solutions provider in San Francisco
Domains: cloud-solutions.com, cloud-solutions.net, cloud-solutions.co.uk
","```json
{
  ""creativity"": 0.1,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.6666666666666666
}
```"
zero_shot,food truck business in London,"Generate 3 domain names for this business. Business: food truck business in London
Domains: foodtrucklondon.com, foodtrucklondonco.com, foodtrucklondon.net
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
zero_shot,wedding photography business in New York,"Generate 3 domain names for this business. Business: wedding photography business in New York
Domains:
1. newyorkweddingsphotography.com
2. weddingphotographyny.com
3. weddingphotographynycity.com
","```json
{
  ""creativity"": 0.2,
  ""relevance"": 0.9,
  ""validity"": 1.0,
  ""overall"": 0.7
}
```"
