business_description,expected_domain_names
startup for pets in Singapore,"['startuppets.biz', 'startuppets.io', 'singaporeio.co']"
event planning company in Toronto,"['eventplanning.co', 'eventify.co', 'companybase.net']"
event planning company in New York,"['eventplanning.com', 'companyhub.co', 'eventlink.co']"
cybersecurity service provider in Tokyo,"['cybersecurityservice.store', 'cybersecurityzone.io', 'cybersecurityservice.ai']"
micro-lending platform in Toronto,"['platformlink.store', 'microlendingplatform.co', 'microlendingplatform.store']"
investment firm in New York,"['investmentbase.ai', 'newlink.biz', 'investmentify.store']"
youth development program in Toronto,"['youthzone.biz', 'youthdevelopment.com', 'programify.ai']"
organic skincare brand in Berlin,"['organicio.store', 'skincarelink.ai', 'organicskincare.io']"
luxury travel agency in Paris,"['luxurytravel.org', 'agencyio.org', 'luxurylink.net']"
film production house in San Francisco,"['filmify.org', 'filmproduction.ai', 'houselink.store']"
educational game developer in Singapore,"['developerio.biz', 'educationalify.org', 'educationalgame.net']"
food truck business in Singapore,"['foodtruck.ai', 'foodtruck.biz', 'foodio.ai']"
bakery and pastry shop in San Francisco,"['bakerypastry.ai', 'bakerypastry.co', 'bakerypastry.org']"
digital marketing agency in Tokyo,"['digitalmarketing.store', 'agencybase.io', 'digitalmarketing.co']"
cloud solutions provider in San Francisco,"['solutionsbase.io', 'cloudsolutions.store', 'cloudsolutions.ai']"
food truck business in London,"['foodtruck.org', 'businessify.co', 'foodtruck.ai']"
wedding photography business in New York,"['weddingphotography.net', 'businessio.biz', 'businesszone.co']"
digital art marketplace in London,"['marketplaceio.store', 'digitalart.io', 'digitalhub.ai']"
university consultancy in Paris,"['parishub.store', 'universityconsultancy.store', 'universityhub.org']"
coding bootcamp in Dubai,"['codingbootcamp.co', 'codingbootcamp.store', 'bootcamphub.com']"
online bookstore in London,"['londonify.com', 'onlinebookstore.store', 'bookstorelink.store']"
language tutoring service in Dubai,"['servicelink.co', 'languagetutoring.com', 'languagehub.biz']"
wedding photography business in San Francisco,"['photographyzone.store', 'weddingphotography.org', 'weddingphotography.com']"
digital art marketplace in Toronto,"['digitalart.com', 'artify.com', 'artlink.ai']"
fine dining restaurant in Paris,"['finedining.com', 'diningify.net', 'restaurantify.biz']"
online bookstore in Toronto,"['onlinebookstore.co', 'torontobase.biz', 'onlinebookstore.com']"
food truck business in New York,"['foodlink.net', 'truckhub.org', 'foodtruck.ai']"
home decor shop in New York,"['homedecor.co', 'homedecor.org', 'homedecor.biz']"
cloud solutions provider in Singapore,"['solutionsio.biz', 'solutionshub.com', 'solutionshub.net']"
language tutoring service in Berlin,"['serviceify.io', 'languagetutoring.com', 'languagetutoring.biz']"
organic skincare brand in Paris,"['organicskincare.co', 'organicskincare.ai', 'organicskincare.org']"
online bookstore in Toronto,"['torontolink.org', 'onlinelink.ai', 'onlinebookstore.com']"
AI-powered healthcare solution for elderly in rural areas in Dubai,"['aipoweredhealthcare.org', 'aipoweredhealthcare.store', 'aipoweredhealthcare.ai']"
environmental NGO in Toronto,"['environmentalngo.org', 'environmentalngo.com', 'environmentalio.co']"
real estate agency in Dubai,"['estatehub.net', 'realestate.co', 'agencyio.biz']"
organic skincare brand in Toronto,"['skincarelink.biz', 'brandbase.co', 'skincarebase.com']"
vegan restaurant in Paris,"['veganrestaurant.co', 'veganify.store', 'veganrestaurant.store']"
